Town,Total,Date,Year,Month,Day,lng,lat,Population
ŽAGUBICA,0,06-Mar-20,2020,3,6,21.7902,44.1979,12737
ZAJEČAR,0,06-Mar-20,2020,3,6,22.2755,43.9019,59461
ŽITIŠTE,0,06-Mar-20,2020,3,6,20.5507,45.4854,16841
ŽITORAĐA,0,06-Mar-20,2020,3,6,21.7134,43.1902,16368
ZRENJANIN,0,06-Mar-20,2020,3,6,20.3995,45.3786,123362
ZUBIN POTOK,0,06-Mar-20,2020,3,6,20.6897,42.9148,
ZVEČAN,0,06-Mar-20,2020,3,6,20.8386,42.9108,
ADA,0,07-Mar-20,2020,3,7,20.1285,45.8027,16991
ALEKSANDROVAC,0,07-Mar-20,2020,3,7,21.0539,43.4609,26522
ALEKSINAC,0,07-Mar-20,2020,3,7,21.7078,43.5417,51863
ALIBUNAR,0,07-Mar-20,2020,3,7,20.9682,45.0789,20151
APATIN,0,07-Mar-20,2020,3,7,18.9843,45.6709,28929
ARANĐELOVAC,0,07-Mar-20,2020,3,7,20.5612,44.3077,46225
ARILJE,0,07-Mar-20,2020,3,7,20.097,43.755,18792
BABUŠNICA,0,07-Mar-20,2020,3,7,22.4115,43.068,12307
BAČ,0,07-Mar-20,2020,3,7,19.2367,45.3923,14405
BAČKA PALANKA,0,07-Mar-20,2020,3,7,19.3916,45.2519,55528
BAČKA TOPOLA,1,07-Mar-20,2020,3,7,19.6369,45.8152,33321
BAČKI PETROVAC,0,07-Mar-20,2020,3,7,19.592,45.3616,13418
BAJINA BAŠTA,0,07-Mar-20,2020,3,7,19.5655,43.9709,26022
BATOČINA,0,07-Mar-20,2020,3,7,21.0799,44.1547,11760
BEČEJ,0,07-Mar-20,2020,3,7,20.04,45.6196,37351
BELA CRKVA,0,07-Mar-20,2020,3,7,21.4234,44.9015,17367
BELA PALANKA,0,07-Mar-20,2020,3,7,22.314,43.2196,12126
BEOČIN,0,07-Mar-20,2020,3,7,19.725,45.1916,15726
BEOGRAD,0,07-Mar-20,2020,3,7,20.468,44.8186,1659440
BLACE,0,07-Mar-20,2020,3,7,21.2727,43.297,11754
BOGATIĆ,0,07-Mar-20,2020,3,7,19.4807,44.8376,28883
BOJNIK,0,07-Mar-20,2020,3,7,21.718,43.0142,11104
BOLJEVAC,0,07-Mar-20,2020,3,7,21.9609,43.8321,12994
BOR,0,07-Mar-20,2020,3,7,22.0967,44.0819,48615
BOSILEGRAD,0,07-Mar-20,2020,3,7,22.4728,42.5005,8129
BRUS,0,07-Mar-20,2020,3,7,21.0289,43.3846,16317
BUJANOVAC,0,07-Mar-20,2020,3,7,21.7666,42.4606,18067
ČAČAK,0,07-Mar-20,2020,3,7,20.3301,43.8897,115337
ČAJETINA,0,07-Mar-20,2020,3,7,19.715,43.7497,14745
ĆIĆEVAC,0,07-Mar-20,2020,3,7,21.4436,43.72,9476
ČOKA,0,07-Mar-20,2020,3,7,20.146,45.9415,11398
CRNA TRAVA,0,07-Mar-20,2020,3,7,22.3247,42.8071,1663
ĆUPRIJA,0,07-Mar-20,2020,3,7,21.3745,43.9284,30645
ĐAKOVICA,0,07-Mar-20,2020,3,7,20.4285,42.3844,
DEČANI,0,07-Mar-20,2020,3,7,20.2883,42.5403,
